,id,day,activity,screen,valence,arousal,office,game,call,sms,social,entertainment,communication,weather,mood
0,AS14.01,2014-03-21,0.13405,0.8140232679922983,0.2,0.2,0.009578,0.0,0.6,0.0,0.250766,0.056035,0.349348,0.0,6.4
1,AS14.01,2014-03-22,0.23688,0.2780959915836287,0.5,0.6,0.0,0.0,0.3,0.25,0.071576,0.015194,0.808008,0.0,6.8
2,AS14.01,2014-03-23,0.142741,0.3066958888148667,0.8,0.2,0.0,0.0,0.0,0.0,0.132988,0.013928,0.773169,0.004486,6.0
3,AS14.01,2014-03-24,0.078961,0.6812924632438002,0.0,0.8,0.0002,0.0,1.0,0.0,0.214232,0.064926,0.616097,0.0,6.75
4,AS14.01,2014-03-25,0.098374,0.9723304457596181,0.5,0.5,0.0,0.0,0.0,0.25,0.08938,0.003176,0.478537,0.0,6.6
5,AS14.01,2014-03-26,0.101308,0.7436134000178752,0.6,-0.2,0.0,0.0,0.0,0.0,0.279598,0.055437,0.5473,0.0,7.0
6,AS14.01,2014-03-27,0.159511,0.7897207512669064,0.8,0.2,0.01046,0.0,0.2,0.25,0.053628,0.036655,0.397687,0.0,6.4
7,AS14.01,2014-03-28,0.095698,0.2229187016599025,0.6,-0.6,0.0,0.047331,0.5,0.0,0.104142,0.204205,0.176061,0.0,8.0
8,AS14.01,2014-03-29,0.068203,0.3768197899185194,1.0,0.2,0.0,0.0,0.4,0.25,0.05682,0.195543,0.326903,0.0,7.5
9,AS14.01,2014-03-30,0.049093,0.20479562205436289,0.75,-0.5,0.0,0.0,0.0,0.0,0.037072,0.33951,0.287076,0.0,7.4
10,AS14.01,2014-03-31,0.070505,0.5359312607469603,0.6,0.0,0.0,0.004323,0.6,0.0,0.114106,0.148597,0.450512,0.0,6.0
11,AS14.01,2014-04-01,0.118443,0.777575582761543,0.0,0.2,0.00538,0.013668,0.1,0.0,0.293472,0.060012,0.35493,0.0,6.5
12,AS14.01,2014-04-02,0.101917,0.9670401500864012,0.666667,0.333333,0.004236,0.0,0.4,0.0,0.160535,0.062897,0.324,0.0,6.4
13,AS14.01,2014-04-03,0.049238,0.9690017123146569,0.0,-1.2,0.0,0.0,0.4,0.0,0.147382,0.060445,0.674619,0.0,6.2
