,Unnamed: 0,id,day,activity,screen,valence,arousal,office,game,call,sms,social,entertainment,communication,weather,mood
59,61,02,15,0.32192,1.0,0.6,0.0,0.0,0.0,0.36,0.1428571428571428,0.01979,0.060796,0.176743,0.0,4.5
60,62,02,16,0.21521,0.2793073666350257,-1.25,-1.0,0.0,0.0,0.24,0.0,0.107273,0.169585,0.335434,0.0,6.8
61,63,02,17,0.136524,0.4871872550415135,0.6,0.0,0.0,0.0,0.08,0.0,0.315428,0.115906,0.590774,0.0,6.25
62,64,02,18,0.261951,0.3121499156312716,0.5,-0.25,0.0,0.0,0.4,0.1428571428571428,0.155977,0.047431,0.555472,0.0,7.25
63,65,02,19,0.24721,0.4405768750235382,0.25,-0.5,0.0,0.0,0.48,0.1428571428571428,0.05112,0.108944,0.391763,0.0,7.25
64,66,02,20,0.260751,0.6002665608758013,0.75,0.25,0.0,0.0,0.04,0.1428571428571428,0.072258,0.088641,0.347546,0.0,6.5
65,67,02,21,0.424481,0.4446023033885251,0.5,-0.5,0.0,0.0,0.28,0.1428571428571428,0.055016,0.120606,0.403405,0.0,6.0
66,68,02,22,0.378302,0.2799846739597416,-1.0,-2.0,0.0,0.0,0.24,0.1428571428571428,0.042962,0.0,0.414551,0.0,7.2
79,82,03,0,0.0,0.1532581842131424,2.0,1.0,0.006034,0.0,0.5,0.4,0.0,0.568194,1.035908,0.0,7.8
80,83,03,1,0.191388,0.2433362605074505,1.0,0.8,0.0,0.0,0.8,0.2,0.0,1.481169,0.17344,0.0,8.2
81,84,03,2,0.100247,0.4646968994966733,1.2,-0.2,0.032089,0.0,0.1,0.2,0.0,0.344943,0.297746,0.008885,7.8
82,85,03,3,0.09074,0.5751295136472591,1.4,-0.6,0.020058,0.0,0.3,0.0,0.0,0.625482,0.365288,0.0,7.8
83,86,03,4,0.132768,0.348969966088964,1.2,-0.4,0.037212,0.0,0.6,0.2,0.0,0.35647,0.344252,0.0,8.25
84,87,03,5,0.091153,0.3669071919195266,1.0,0.5,0.005189,0.0,0.1,0.0,0.0,0.59104,0.324836,0.0,7.75
85,88,03,6,0.103196,0.3015202897350079,0.5,0.25,0.004102,0.0,0.3,0.2,0.0,0.504867,0.284422,0.0,8.0
86,89,03,7,0.104679,0.2992015624482221,1.5,-0.5,0.014215,0.0,0.3,0.0,0.0,1.03118,0.289462,0.0,8.6
87,90,03,8,0.163377,0.2081599121663666,1.6,-0.2,0.0,0.0,0.0,0.2,0.0,1.118439,0.067626,0.0,8.4
88,91,03,9,0.164651,0.3284988014234535,1.0,-0.2,0.007365,0.0,0.1,0.0,0.0,0.571582,0.342875,0.008954,7.4
89,92,03,10,0.083634,0.8651036661475076,0.6,0.4,0.0,0.0,0.3,0.2,0.0,0.180828,0.469522,0.0,7.6
90,93,03,11,0.097414,0.2950917364401881,0.4,0.4,0.019493,0.0,0.2,0.0,0.0,0.507379,0.222035,0.0,7.4
91,94,03,12,0.078688,0.3096766117867545,0.6,0.2,0.005558,0.0,0.2,0.0,0.0,0.58899,0.243906,0.0,7.8
92,95,03,13,0.083636,0.2128871141745185,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.905054,0.296264,0.0,7.8
93,96,03,14,0.087107,0.2974528061290239,1.4,0.2,0.001907,0.0,0.0,0.6,0.0,0.424443,0.248833,0.0,7.6
94,97,03,15,0.114428,0.3546356127551152,1.0,1.2,0.02764,0.0,0.6,0.0,0.0,0.595903,0.288217,0.0,6.8
95,98,03,16,0.076772,0.5549249243353106,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.702358,0.121147,0.0,7.4
96,99,03,17,0.144064,0.4635286071437777,1.0,0.2,0.02476,0.0,0.2,0.0,0.0,0.499204,0.354959,0.0,7.4
97,100,03,18,0.103831,0.4120036230683412,1.2,0.4,0.333981,0.0,0.2,0.2,0.0,0.292151,0.152677,0.0,7.8
